,id,Artist(s),Title,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,BMP,Time_Signature,Valence
64,0m0Tv8qRoePqoWmU2Py5Gk,COSIMA,Nothing Compares 2 U,0.737,0.264,259866,0.118,1.13e-05,3,0.161,-8.529,1,0.0341,171.719,4,0.133
65,3FZl7oNIPiYVfE59uVmPDU,Milow,Ayo Technology,0.393,0.777,213945,0.644,0.0,11,0.0878,-8.071,0,0.0395,128.05,4,0.758
66,72PMRGgYB1mkY3TsUJZtyc,Yael Naim,Toxic,0.59,0.62,267226,0.291,0.000104,8,0.0665,-11.858,1,0.0567,120.02,4,0.187
67,3SawmGBjjq8EOYZJV11cJm,Post Malone,Only Wanna Be With You - Pokémon 25 Version,0.00124,0.47,241360,0.709,0.00121,7,0.302,-4.563,1,0.0299,98.036,4,0.247
68,6AGOKlMZWLCaEJGnaROtF9,Ritt Momney,Put Your Records On,0.0563,0.399,210463,0.491,0.00089,6,0.11,-10.778,0,0.0538,91.066,4,0.151
69,2DWteQehd27R6qkJdHFggd,John Legend,By Your Side,0.878,0.336,278226,0.278,0.0,10,0.102,-7.273,1,0.0479,72.982,4,0.321
70,5iuWWNhVwmcbSJ5qTuYd9H,Lennon Stella,Thank You,0.928,0.493,216110,0.11,9.81e-06,11,0.11,-9.766,1,0.0374,135.957,4,0.145
71,1xN885vrS6dd9xfKXAgg4F,Jenevieve,Against All Odds,0.456,0.624,201506,0.449,0.000223,4,0.274,-8.039,1,0.0293,124.87,4,0.401
72,7lcUx8bgiwGEn0BHNo3O31,Lissie,Dreams - Piano Version,0.921,0.562,274992,0.187,0.0,0,0.0813,-9.156,1,0.0313,117.59,4,0.199
73,5My4LtZW8JQJoKFDWodqIt,Shawn Mendes,Use Somebody - Recorded at Spotify Studios NYC,0.35,0.366,176586,0.519,0.0,5,0.145,-6.066,1,0.0331,124.632,4,0.308
74,1JN2dN2AVW0EfJMhXniTLi,Maude Latour,Kids in America (From the Netflix Film Do Revenge),0.0734,0.455,194595,0.919,2.27e-06,11,0.188,-4.798,0,0.0865,163.041,4,0.652
75,4yyHCYD1ZmeIXEEbvLjCqh,Katy Perry,All You Need Is Love,0.333,0.25,206138,0.515,0.0,11,0.102,-7.865,1,0.0571,199.967,4,0.39
76,2GSzaHXWxiHCo0pk0uOOpE,Madison Rose,True Colors (Spotify Singles),0.0241,0.58,200655,0.683,0.0,0,0.207,-4.996,1,0.0436,121.997,4,0.49
77,6ClEErrTmd3GzRqGiCEC8G,Anne-Marie,"Leave (Get Out) - Recorded at Metropolis Studios, London",0.853,0.484,195920,0.381,0.0,2,0.119,-6.815,0,0.0541,169.506,4,0.644
78,3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',0.127,0.714,211560,0.8,0.0,11,0.359,-4.808,0,0.0504,134.002,4,0.589
79,5THybCnLJJ6yELeignV078,Mint Simon,You Get What You Give,0.0222,0.701,217043,0.657,1.38e-06,11,0.0637,-7.54,0,0.0368,115.005,4,0.819
80,2le3X2fuJk9J3tUav1yqT2,Mira Housey,Flowers,0.135,0.783,165120,0.543,0.0,10,0.111,-7.955,0,0.0349,124.959,4,0.643
81,5c0z1ccAIoZl1okUhiqNOc,Ben Abraham,In Your Eyes,0.903,0.44,329086,0.453,1.34e-05,1,0.112,-7.556,1,0.0392,90.214,4,0.352
82,2kgnKo9QCHpohSPxkDStLy,Madison Cunningham,In My Life,0.893,0.609,176320,0.143,0.0,8,0.156,-12.388,1,0.0282,87.153,4,0.189
83,1CBD8aOExhsuPedP2P0wVi,Olly Alexander (Years & Years),It's A Sin,0.898,0.497,192078,0.333,0.0,0,0.153,-5.222,0,0.0399,67.143,4,0.207
84,37mbA1RwYja7WFaIOzSczX,NIKI,You'll Be In My Heart - Spotify Singles,0.0572,0.487,241776,0.611,0.00104,9,0.125,-8.757,1,0.0389,187.56,4,0.621
85,5qizUaJepbFJ5qGZyuyQim,Josef Salvat,Diamonds,0.349,0.489,247200,0.368,0.00071,11,0.11,-8.359,0,0.043,82.462,4,0.245
86,5gAYEvsJZ7nFC220oB5DAv,Kate McGill,Wouldn't It Be Nice,0.7,0.656,152181,0.261,0.0,7,0.119,-11.743,0,0.0346,82.593,3,0.273
87,4BAlcJ34coNhGeUNfR2qop,Sara Kays,Fireflies,0.824,0.363,185714,0.61,1.34e-05,4,0.145,-6.935,1,0.0493,81.392,4,0.503
88,7aW7NJWNPSNOMGRUCmIody,Thunder Jackson,Take On Me,0.348,0.663,146533,0.532,0.000519,7,0.0946,-5.325,1,0.0367,125.009,4,0.277
89,2Wv0DfptASwsdOVKtyLJua,why mona,Kiss Me,0.185,0.443,148514,0.501,0.0,0,0.142,-8.513,0,0.041,101.385,4,0.149
0,7tY1VsxEz6OGN3FkUMN2MU,Modern Space,High by the Beach,0.0496,0.661,217812,0.764,0.0,1,0.635,-5.353,1,0.0473,138.023,4,0.822
1,5cnPBp42sCF1GrN0GsPhQM,Jenny Owen Youngs,Hot In Herre,0.582,0.623,256120,0.554,1.45e-06,7,0.0725,-7.441,1,0.0252,87.973,4,0.749
2,4eTnFWS7Bi5ds9SVTxakAJ,SOAK,Immigrant Song,0.624,0.214,140358,0.452,0.00905,4,0.105,-11.429,1,0.0468,199.785,4,0.0385
